O,D,Bike_time,Bike_dist
5,83,1362.06,6.69
5,84,1207.29,5.91
5,85,1001.86,4.78
5,86,369.09,1.59
5,87,759.3,3.59
5,88,3917.12,19.42
5,89,3326.31,16.42
5,90,2677.57,13.24
5,91,2631.06,12.37
5,92,1159.12,5.59
5,93,1397.06,6.86
5,94,1893.84,9.34
5,95,1449.81,7.13
5,96,1690.64,8.24
5,97,3442.56,17.03
5,98,3766.68,18.65
5,99,1597.43,7.78
5,100,977.96,4.67
5,101,4015.86,19.88
5,102,4666.32,22.52
5,103,2450.28,11.96
5,104,2324.2,11.43
5,105,3164.86,15.59
5,106,2886.78,13.82
5,107,4514.58,20.62
5,108,2201.59,10.79
5,109,1704.98,8.32
5,110,2405.38,11.66
5,111,1834.8,8.97
5,112,3016.82,14.93
5,113,4427.39,20.74
5,114,2289.13,11.3
6,1,2841.97,13.93
6,2,500.2,2.38
6,3,2449.98,11.95
6,4,2958.47,14.52
6,5,3250.99,15.82
6,6,0,0
6,7,2182.42,10.63
6,8,1876.59,9.2
6,9,3186.67,15.61
6,10,1931.37,9.52
6,11,3082.25,14.52
6,12,2615.51,12.68
6,13,3760,18.48
6,14,4254.99,20.89
6,15,3532.4,17.48
6,16,4673.1,22.88
6,17,4311.29,21.33
6,18,3775.45,18.7
6,19,4849.17,23.85
6,20,2589.04,12.67
6,21,801.52,3.57
6,22,729.36,3.51
6,23,3078.99,15.12
6,24,2354.8,11.5
6,25,3519.05,17.32
6,26,2734.55,13.54
6,27,1956.35,9.5
6,28,2605.81,12.69
6,29,1057.09,5.04
6,30,2945.15,14.39
6,31,2380.43,11.79
6,32,679.41,3.3
6,33,4234.52,20.99
6,34,3788.82,18.35
6,35,4303.61,21.36
6,36,2141.68,10.43
6,37,2511.2,12.2
6,38,2531.5,12.52
6,39,2468.28,12.2
6,40,4418.12,21.18
6,41,4208.79,20.85
6,42,2974.73,14.57
6,43,2474.78,12.2
6,44,6949.08,33.17
6,45,658.07,3.18
6,46,2185.52,10.8
6,47,3025.64,14.91
6,48,2772.34,13.52
6,49,3578.09,17.72
6,50,3357.84,15.97
6,51,3162.84,15.48
6,52,1331.35,6.51
6,53,6248.37,30.65
6,54,4792.2,23.68
6,55,4536.11,22.52
6,56,3020.99,14.91
6,57,2051.95,10.09
6,58,3244.39,16.11
6,59,2889.03,14.2
6,60,4014.2,19.91
6,61,1063.15,4.98
6,62,5107.76,25.36
6,63,5490.33,27.24
6,64,4347.13,21.21
6,65,4021.42,19.58
6,66,1785.22,8.67
6,67,608.1,2.87
6,68,543.12,2.58
6,69,1397.4,6.73
6,70,1412.04,6.48
6,71,5044.16,25
6,72,1807.66,8.76
6,73,2583.84,12.8
6,74,1770.46,8.69
6,75,3733.47,18.14
6,76,4338.72,21.46
6,77,4721.54,23.21
6,78,5446.22,26.88
6,79,4704.68,23.21
6,80,3205.74,15.87
6,81,3328.18,16.49
6,82,3496.4,17.33
6,83,3629.49,17.87
6,84,3326.07,16.35
6,85,2999.47,14.84
6,86,3303.25,15.92
6,87,3127.1,15.12
6,88,5459.06,27.1
6,89,3651.29,18.02
6,90,2710.63,13.4
6,91,2646.35,12.46
6,92,2511.37,12.43
6,93,2107.39,10.43
6,94,1475.85,7.27
6,95,1903.38,9.39
6,96,2994.51,14.86
6,97,480.27,2.31
6,98,744.49,3.63
6,99,3038.66,15.09
6,100,2647.71,13.11
6,101,1090.6,5.34
6,102,6371.68,31.04
6,103,1181.84,5.77
6,104,1737.57,8.46
6,105,1335.61,6.49
6,106,2797.81,13.1
6,107,2685.32,11.52
6,108,2598.37,12.75
6,109,2174.99,10.76
6,110,2482.56,11.91
6,111,2381.19,11.74
6,112,1140.99,5.37
6,113,4921.55,23.26
6,114,1526.93,7.53
7,1,1174.45,5.47
7,2,2205.79,10.95
7,3,611.97,2.78
7,4,881.55,4.41
7,5,1071.74,5.2
7,6,2201.34,10.77
7,7,0,0
7,8,1977.14,9.8
7,9,1681.53,8.36
7,10,1598.47,7.93
7,11,1554.76,7.14
7,12,1482.47,7.36
7,13,2166.18,10.78
7,14,3975.71,19.44
7,15,3253.12,16.02
7,16,3206.31,15.77
7,17,2949.33,14.75
7,18,2109.41,10.13
7,19,3255.36,16.15
7,20,1061.55,5.29
7,21,2655.86,13.17
7,22,1998.9,9.92
7,23,1314.2,6.57
7,24,827.3,4.12
7,25,1797.04,8.99
7,26,1264.39,6.32
7,27,631.59,3.07
7,28,426.57,2.08
7,29,1458.73,7.12
7,30,765.9,3.78
7,31,640.35,3.2
7,32,2034.15,10.14
7,33,3173.13,15.45
7,34,3096.64,15.31
7,35,3676.45,18.19
7,36,1208.76,5.98
7,37,983.71,4.82
7,38,1806.98,8.83
7,39,2477.18,12.26
7,40,3934.93,18.97
7,41,3929.51,19.39
7,42,2695.45,13.11
7,43,2804.76,13.94
7,44,5995.68,29.41
7,45,1720.65,8.53
7,46,2292.09,11.46
7,47,3034.54,14.97
7,48,2285.39,11.43
7,49,2462.69,12.3
7,50,2828.07,13.66
7,51,2679.65,13.26
7,52,1936.49,9.54
7,53,5109.97,24.74
7,54,4257.87,20.83
7,55,3821.52,18.69
7,56,1957.13,9.73
7,57,2210.19,10.82
7,58,2105.73,10.53
7,59,2054.65,10.27
7,60,2429.35,11.73
7,61,2018.63,10.02
7,62,3695.34,18.04
7,63,4113.13,20.48
7,64,3674.83,18.19
7,65,3538.23,17.37
7,66,634.5,3.16
7,67,1688.58,8.29
7,68,2098.85,10.32
7,69,1068.73,5.27
7,70,1348.44,6.2
7,71,3520.07,17.56
7,72,2563.48,12.54
7,73,1319.29,6.6
7,74,1975.47,9.87
7,75,3250.27,15.93
7,76,3223.32,16.04
7,77,3606.14,17.79
7,78,3927.11,19.4
7,79,2920.17,14.51
7,80,2926.46,14.41
7,81,3048.91,15.03
7,82,2601.25,12.89
7,83,2119.58,10.6
7,84,1694.55,8.07
7,85,1190.42,5.7
7,86,1124,5.31
7,87,947.85,4.51
7,88,4275.87,20.92
7,89,3372.01,16.57
7,90,2370.34,11.65
7,91,2323.83,10.78
7,92,1055.24,5.28
7,93,867.45,4.34
7,94,998,4.99
7,95,497.63,2.49
7,96,1734.53,8.67
7,97,2464.61,12.24
7,98,2788.72,13.87
7,99,1697.93,8.49
7,100,897.71,4.49
7,101,3037.91,15.09
7,102,5233.29,25.13
7,103,1472.33,7.17
7,104,1310.95,6.4
7,105,2186.91,10.81
7,106,2579.56,12.23
7,107,3536.62,15.84
7,108,1984.3,9.92
7,109,1340.58,6.65
7,110,2017.47,9.92
7,111,1603.8,7.86
7,112,2222.52,11.01
7,113,4512.35,21.3
7,114,1505.46,7.51
8,1,2568.47,12.82
8,2,1580.85,7.81
8,3,2289.42,11.32
8,4,2597.38,12.97
8,5,2986.89,14.77
8,6,1905.55,9.23
8,7,2724.48,13.47
8,8,0,0
8,9,2219.15,10.99
8,10,731.89,3.66
8,11,2192.15,10.17
8,12,1805.56,8.75
8,13,3493.88,17.37
8,14,2867.46,14.04
8,15,1883.19,9.31
8,16,3454.36,16.9
8,17,3092.55,15.36
8,18,2556.72,12.73
8,19,4572,22.52
8,20,2141.74,10.36
8,21,1701.69,8.39
8,22,1296.9,6.39
8,23,2805.49,14.01
8,24,1625.5,8.01
8,25,3245.55,16.21
8,26,3670.48,18.23
8,27,1718.77,7.99
8,28,2877.91,14.28
8,29,2078.58,10.15
8,30,3216.02,16.04
8,31,3069.21,15.23
8,32,2289.42,11.36
8,33,2859.24,14.2
8,34,2413.53,11.55
8,35,2928.32,14.56
8,36,1108.3,5.52
8,37,2185.95,10.83
8,38,1312.76,6.54
8,39,3739.14,18.56
8,40,5581.48,27
8,41,2559.59,12.68
8,42,1660.64,8.23
8,43,717.01,3.54
8,44,5561.56,26.31
8,45,1490.45,7.3
8,46,3482.19,17.28
8,47,4296.51,21.26
8,48,3935.7,19.35
8,49,4741.45,23.54
8,50,4521.2,21.79
8,51,4326.2,21.3
8,52,2820.62,13.96
8,53,4873.08,23.85
8,54,3416.92,16.89
8,55,3160.82,15.73
8,56,1802.26,8.94
8,57,560.39,2.68
8,58,4407.75,21.93
8,59,4052.39,20.03
8,60,2795.47,13.93
8,61,940.1,4.58
8,62,3732.48,18.56
8,63,4115.05,20.44
8,64,5510.49,27.03
8,65,5184.77,25.41
8,66,2327.28,11.52
8,67,1720.33,8.43
8,68,2065.97,10.2
8,69,1338.24,6.68
8,70,1906.18,8.96
8,71,3473.16,17.27
8,72,3330.51,16.38
8,73,3382.21,16.67
8,74,3154.64,15.67
8,75,4896.83,23.97
8,76,5502.08,27.28
8,77,5884.9,29.03
8,78,4070.93,20.08
8,79,3485.94,17.24
8,80,1602.81,7.91
8,81,1725.26,8.54
8,82,2277.67,11.35
8,83,3300.56,15.81
8,84,2567.83,12.74
8,85,3713.63,18.5
8,86,3210.52,15.83
8,87,3471.06,17.31
8,88,4083.78,20.3
8,89,2294.23,11.26
8,90,1491.89,7.42
8,91,981.48,4.35
8,92,3447.3,17.12
8,93,2953.54,14.59
8,94,2430.06,12.05
8,95,2651.64,13.14
8,96,3892.01,19.28
8,97,1989.68,9.82
8,98,2372.01,11.77
8,99,3884.8,19.25
8,100,3389.8,16.83
8,101,2158.01,10.68
8,102,4996.4,24.25
8,103,1128.53,5.54
8,104,877.27,4.34
8,105,798.47,3.86
8,106,926.79,3.93
8,107,1450.18,5.5
8,108,3761.73,18.57
8,109,3033.92,14.99
8,110,3645.92,17.73
8,111,3544.55,17.56
8,112,2846.18,13.65
8,113,6084.91,29.08
8,114,2690.29,13.35
9,1,791.62,3.93
9,2,3029.29,15.14
9,3,1444.94,7.2
9,4,1201.47,5.98
9,5,1521.47,7.42
9,6,3118.35,15.43
9,7,1702.61,8.45
9,8,2143.53,10.48
