O,D,Car_time,Car_dist
5,51,1418.61,14.28
5,52,1310.77,14.78
5,53,1588.94,21.37
5,54,1262.51,18.11
5,55,1239.23,16.04
5,56,913.45,9.49
5,57,1162.18,12.31
5,58,1156.81,11.14
5,59,1215.16,10.94
5,60,919.46,10.42
5,61,1247.85,14.18
5,62,1186.44,15.81
5,63,1399.88,17.82
5,64,1583.97,19.95
5,65,1475.84,18.04
5,66,930.04,8.11
5,67,1242.62,13.04
5,68,1192.09,15.03
5,69,890.95,9.23
5,70,1121.67,11.75
5,71,1111.3,14.32
5,72,1454.17,17.83
5,73,903.98,8.3
5,74,1381.96,14.28
5,75,1459.18,16.97
5,76,1586.59,15.78
5,77,1781.35,17.41
5,78,1377.01,17.62
5,79,1052.93,10.06
5,80,1146.98,15.35
5,81,1485.14,18.36
5,82,931.61,11.65
5,83,664.61,7.15
5,84,609.05,6
5,85,598.64,4.61
5,86,297.94,2.25
5,87,477.91,3.41
5,88,1321.03,18.12
5,89,1304.9,16.38
5,90,1099.58,12.71
5,91,1134.92,11.78
5,92,728.14,6.3
5,93,791.96,6.99
5,94,956.79,9.51
5,95,815.29,7.4
5,96,936.05,9.16
5,97,1339.86,17.9
5,98,1322.62,17.65
5,99,1003.55,9.45
5,100,603.15,4.57
5,101,1565.5,19.61
5,102,1728.18,22.59
5,103,1173.62,11.85
5,104,1140.09,10.63
5,105,1384.52,15.05
5,106,1205.54,13.27
5,107,1474.39,14.49
5,108,1112.23,10.5
5,109,956.73,9.87
5,110,1308.49,12.19
5,111,1114.8,10.21
5,112,1217.25,14.97
5,113,1960.93,22.39
5,114,1092.3,10.74
6,1,1299.69,16.62
6,2,330.89,3.97
6,3,1091.3,13.52
6,4,1145.51,14.75
6,5,1252.6,15.76
6,6,0,0
6,7,866,11.99
6,8,1008.11,10.76
6,9,1473.88,17.52
6,10,1013.78,10.34
6,11,1338.01,16.02
6,12,1307.8,14.83
6,13,1746.45,21.76
6,14,1917.43,20.91
6,15,1623.71,19.69
6,16,2026.03,23.31
6,17,1891.6,24.54
6,18,1746.51,22.49
6,19,2476.57,27.23
6,20,1294.25,15.73
6,21,449.46,4.38
6,22,339.99,4.35
6,23,1421.6,17.74
6,24,1103.43,14.15
6,25,1689.48,19.74
6,26,1116.35,15.02
6,27,936.53,12.32
6,28,1075.9,14.93
6,29,462.83,5.62
6,30,1178.68,16.17
6,31,825.97,12.75
6,32,328.41,4.43
6,33,1996.1,22.66
6,34,1620.69,19.68
6,35,2019.65,23.55
6,36,1054.19,13.28
6,37,1213.56,15.22
6,38,1117.35,12.31
6,39,911.56,12.67
6,40,1399.97,19.39
6,41,1777.69,22.11
6,42,1408.85,15.51
6,43,1241.32,13.58
6,44,2877.19,38.78
6,45,434.61,3.6
6,46,917.97,11.81
6,47,994.71,14.61
6,48,1157.52,14.52
6,49,1585.4,18.28
6,50,1664.92,17.51
6,51,1244.92,17.52
6,52,662.75,7.57
6,53,2519.95,35.31
6,54,2155.17,25.96
6,55,2099.37,24.46
6,56,1429.82,16.37
6,57,1005.56,10.5
6,58,1368.31,17.69
6,59,1158.54,14.6
6,60,1792.11,20.34
6,61,527.86,6.54
6,62,2117.45,29.75
6,63,2330.89,31.76
6,64,1293.62,19.52
6,65,1185.49,17.61
6,66,866.13,10.83
6,67,391,3.45
6,68,257.88,3.34
6,69,727.82,8.98
6,70,639.48,6.94
6,71,2042.31,28.26
6,72,744.05,9.54
6,73,1001.43,13.43
6,74,672.21,9.21
6,75,1215.52,17.08
6,76,1496.98,21.4
6,77,1691.74,23.03
6,78,2308.02,31.56
6,79,2015.4,25.28
6,80,1484.43,16.47
6,81,1515.68,16.96
6,82,1486.87,17.65
6,83,1595.62,21.09
6,84,1448.28,18.8
6,85,1129.94,16.25
6,86,1317.99,18.1
6,87,1136.14,16.23
6,88,2252.04,32.06
6,89,1693.84,18.43
6,90,1305.42,13.54
6,91,1212.77,12.85
6,92,1016.25,13.64
6,93,789.59,11.54
6,94,628.93,9.52
6,95,919.68,11.58
6,96,1147.55,15.72
6,97,253.45,2.35
6,98,430.58,4.33
6,99,1336.54,16.2
6,100,949.89,14.35
6,101,505.61,5.3
6,102,2659.18,36.53
6,103,570.39,6.67
6,104,1024.3,12.03
6,105,664.53,7.42
6,106,1287.21,14.35
6,107,1176.5,11.94
6,108,1061.02,13.35
6,109,765.54,11.18
6,110,896.31,11.31
6,111,973.25,13.16
6,112,488.69,5.95
6,113,1670.59,21.95
6,114,659.42,9.2
7,1,604.61,5.89
7,2,934.56,11.8
7,3,417.03,3.69
7,4,471.24,4.91
7,5,572.65,5.38
7,6,923.77,12.16
7,7,0,0
7,8,961.42,9.85
7,9,805.97,9.01
7,10,902.79,8.97
7,11,670.1,7.51
7,12,699.6,7.25
7,13,1051.37,11.03
7,14,1718.31,19.65
7,15,1365.77,18.53
7,16,1351.1,15.48
7,17,1196.52,13.81
7,18,1051.43,11.76
7,19,1781.48,16.5
7,20,619.98,5.89
7,21,1054.83,13.98
