O,D,Walk_time,Walk_dist
5,53,15741.69,21.86
5,54,13368.64,18.57
5,55,11631.34,16.15
5,56,7016.52,9.75
5,57,8595.4,11.94
5,58,7552.92,10.49
5,59,7321.27,10.17
5,60,7366.13,10.23
5,61,9835.41,13.66
5,62,11380.65,15.81
5,63,11658.25,16.19
5,64,12751.53,17.71
5,65,12581.43,17.47
5,66,5203.29,7.23
5,67,8675.58,12.05
5,68,9801.45,13.61
5,69,6512.63,9.05
5,70,6920.59,9.61
5,71,9593.64,13.32
5,72,10638.61,14.78
5,73,5354.11,7.44
5,74,8677.31,12.05
5,75,11540.99,16.03
5,76,11522.81,16
5,77,12843.52,17.84
5,78,10582.65,14.7
5,79,7008.04,9.73
5,80,11023.38,15.31
5,81,11551.94,16.04
5,82,8079.99,11.22
5,83,4913.37,6.82
5,84,4167.65,5.79
5,85,3407.14,4.73
5,86,899.99,1.25
5,87,2264.95,3.15
5,88,13336.33,18.52
5,89,11509.26,15.99
5,90,8754.59,12.16
5,91,8409.17,11.68
5,92,4006.97,5.57
5,93,5111,7.1
5,94,6812.39,9.46
5,95,5217.91,7.25
5,96,5563.83,7.73
5,97,11897.38,16.52
5,98,12625.56,17.54
5,99,5934.71,8.24
5,100,2958.77,4.11
5,101,14080.33,19.56
5,102,15503.58,21.53
5,103,8073.6,11.21
5,104,7141.88,9.92
5,105,9727.29,13.51
5,106,9809.84,13.62
5,107,13209.84,18.35
5,108,7129.61,9.9
5,109,6222.87,8.64
5,110,8145.23,11.31
5,111,6264.58,8.7
5,112,10982.87,15.25
5,113,15007.44,20.84
5,114,8149.88,11.32
6,1,10187.22,14.15
6,2,1959.7,2.72
6,3,8420.41,11.7
6,4,9686.85,13.45
6,5,10505.15,14.59
6,6,0,0
6,7,7949.75,11.04
6,8,6577.96,9.14
6,9,11145.14,15.48
6,10,6355.56,8.83
6,11,10339.35,14.36
6,12,8649.85,12.01
6,13,13293.46,18.46
6,14,14937.75,20.75
6,15,12171.32,16.9
6,16,15396,21.38
6,17,14359.11,19.94
6,18,12348.72,17.15
6,19,19219.01,26.69
6,20,9476.79,13.16
6,21,2625.98,3.65
6,22,2419.5,3.36
6,23,11157.07,15.5
6,24,7753.43,10.77
6,25,12070.14,16.76
6,26,10061.66,13.97
6,27,6597.05,9.16
6,28,9291.34,12.9
6,29,3781.47,5.25
6,30,10529.95,14.63
6,31,8389.88,11.65
6,32,2421.45,3.36
6,33,14812.1,20.57
6,34,13174.18,18.3
6,35,15514.64,21.55
6,36,7368.18,10.23
6,37,8887.67,12.34
6,38,8251.06,11.46
6,39,8408.63,11.68
6,40,13768.33,19.12
6,41,14708.4,20.43
6,42,10418.39,14.47
6,43,8811.33,12.24
6,44,25092.41,34.85
6,45,2281.02,3.17
6,46,7346.49,10.2
6,47,9016.38,12.52
6,48,10283.82,14.28
6,49,12394.94,17.22
6,50,11832.72,16.43
6,51,10932.26,15.18
6,52,4710.96,6.54
6,53,21451.36,29.79
6,54,17505.61,24.31
6,55,16291.13,22.63
6,56,9910.93,13.77
6,57,6933.43,9.63
6,58,11642.62,16.17
6,59,9756.24,13.55
6,60,13209.84,18.35
6,61,3470.42,4.82
6,62,17535.65,24.36
6,63,19055.98,26.47
6,64,15222.25,21.14
6,65,14097.9,19.58
6,66,5963.79,8.28
6,67,2113.41,2.94
6,68,1946.1,2.7
6,69,5041.79,7
6,70,4174,5.8
6,71,16745.9,23.26
6,72,5889.22,8.18
6,73,8902.71,12.37
6,74,6103.95,8.48
6,75,13057.46,18.14
6,76,14470.9,20.1
6,77,15791.61,21.93
6,78,18671.9,25.93
6,79,15521.79,21.56
6,80,10893.49,15.13
6,81,11422.05,15.86
6,82,11390.2,15.82
6,83,13193.56,18.32
