O,D,str.dist,Bike_ta,Bike_da,Walk_ta,Walk_da,Car_ta,Car_da,Bike_dr,Walk_dr,Car_dr
2,20,10.28057607,2857.44,14.21,10222.41,14.2,1259.89,15.32,1.382218263,1.381245555,1.490188867
2,21,1.604781174,464.07,2.29,1634.94,2.27,189.63,2.3,1.426985833,1.414523075,1.433217212
2,22,0.977982055,424.47,2.12,1149.46,1.6,183.41,2.08,2.167728937,1.636021839,2.126828391
2,23,12.70831745,3347.39,16.66,11576.81,16.08,1387.24,17.34,1.310952458,1.265313057,1.364460722
2,24,8.522082437,2623.19,13.04,8499.05,11.8,1069.07,13.74,1.530142438,1.384638096,1.612281986
2,25,13.51921151,3787.44,18.86,12489.88,17.35,1655.11,19.33,1.395051774,1.28335887,1.429817115
2,26,12.19507546,3063.49,15.29,10927.95,15.18,1190.46,16.29,1.25378478,1.244764746,1.335785093
2,27,7.735148372,2224.74,11.05,7016.79,9.75,902.16,11.91,1.428544026,1.260480023,1.539724828
2,28,10.80655897,2874.21,14.23,9416.36,13.08,1094.16,14.05,1.316792889,1.210376035,1.300136338
2,29,5.277412615,1386.03,6.79,4647.76,6.46,536.95,6.89,1.286615335,1.224084693,1.305564014
2,30,12.09460362,3213.54,15.94,10530.38,14.63,1162.4,15.31,1.317943151,1.209630383,1.265853804
2,31,10.11790275,2709.37,13.54,9256.16,12.86,900.08,14.02,1.338221995,1.271014391,1.385662657
2,32,4.327764784,1162.44,5.81,3934.32,5.46,402.52,5.71,1.342494403,1.261621246,1.319387787
2,33,16.56649206,4241.94,21.17,14832.82,20.6,1961.73,22.25,1.277880672,1.24347387,1.343072506
2,34,14.62928264,3796.24,18.53,13194.9,18.33,1586.32,19.28,1.266637638,1.252966427,1.317904676
2,35,16.89931882,4311.03,21.54,15535.36,21.58,1985.28,23.14,1.274607588,1.276974547,1.36928596
2,36,7.667896174,2315.2,11.55,7552.36,10.49,1019.82,12.87,1.506280176,1.368041476,1.678426482
2,37,9.726932968,2779.6,13.74,9633.29,13.38,1179.19,14.82,1.412572703,1.375562065,1.523604619
2,38,8.948054951,2538.92,12.69,8181.61,11.36,1082.98,11.91,1.4181853,1.269549646,1.331015518
2,39,11.63815634,2864.15,14.28,9921.5,13.78,985.67,13.94,1.226998468,1.184036337,1.197784219
2,40,16.04018759,4747.06,22.93,16525.52,22.95,1474.08,20.67,1.429534403,1.430781271,1.288638295
2,41,13.97518407,4216.21,21.03,14638.95,20.33,1743.33,21.7,1.504810233,1.454721447,1.552752356
2,42,11.88974516,2982.15,14.74,10348.93,14.37,1374.48,15.11,1.239723796,1.208604542,1.27084305
2,43,6.679261908,2164.63,10.79,7706.72,10.7,1206.96,13.18,1.615447956,1.601973414,1.973271925
2,44,24.84100887,6956.5,33.35,25113.12,34.88,2842.82,38.37,1.342538066,1.404129767,1.544623256
2,45,1.993457077,892.13,4.42,2564.57,3.56,457.61,4.62,2.21725366,1.785842314,2.31758188
2,46,10.16234824,2581.4,12.87,8859.37,12.3,992.08,13.09,1.266439576,1.210350178,1.288088116
2,47,12.20328813,3421.52,16.98,10529.25,14.62,1068.82,15.88,1.391428263,1.198037762,1.301288623
2,48,12.82810307,3101.28,15.27,11354.85,15.77,1231.63,15.8,1.190355263,1.229332187,1.231670803
2,49,15.12927455,3907.03,19.47,13465.97,18.7,1659.51,19.55,1.286909028,1.236014321,1.29219679
2,50,14.87816951,3686.78,17.72,12903.75,17.92,1739.03,18.79,1.191006729,1.204449243,1.262924178
2,51,13.20617391,3491.78,17.23,12003.29,16.67,1319.03,18.8,1.304692799,1.26228839,1.423576588
2,52,6.604162687,1727.23,8.59,5781.99,8.03,736.86,8.84,1.30069479,1.215899786,1.338549702
2,53,21.76601706,6255.79,30.83,21472.07,29.82,2485.59,34.9,1.416428183,1.370025573,1.603416918
2,54,19.43493847,4799.62,23.86,17526.32,24.34,2120.8,25.56,1.227685904,1.252383692,1.315157238
2,55,18.19548277,4543.53,22.7,16311.84,22.66,2065.01,24.05,1.247562391,1.245364044,1.321756631
2,56,10.89712346,3028.41,15.09,9931.64,13.79,1395.45,15.97,1.384769114,1.265471576,1.46552437
2,57,7.344031783,1989.96,9.79,6863.97,9.53,971.2,10.1,1.333055233,1.297652336,1.375266379
2,58,14.07076219,3573.33,17.86,12787.9,17.76,1442.42,18.97,1.269298689,1.262191753,1.348185673
2,59,12.3104372,3217.97,15.96,10827.27,15.04,1232.65,15.87,1.29646086,1.221727527,1.28914999
2,60,14.63140972,4021.62,20.09,13230.55,18.38,1757.74,19.94,1.373073435,1.25620158,1.362821518
2,61,2.215060044,720.09,3.57,2199.09,3.05,474.8,5.15,1.611694459,1.376937844,2.324993408
2,62,19.29873106,5115.18,25.54,17556.36,24.38,2083.08,29.34,1.323403074,1.263295495,1.520307211
2,63,20.65045401,5497.75,27.41,19076.69,26.5,2296.53,31.36,1.327331592,1.283264764,1.51861068
2,64,17.9230899,4676.07,22.96,16293.28,22.63,1367.73,20.79,1.281029115,1.262617111,1.159956241
2,65,16.33287965,4350.36,21.34,15168.93,21.07,1259.6,18.88,1.306566904,1.290035832,1.155950475
2,66,7.015257492,2053.62,10.21,6808.28,9.46,831.76,10.42,1.45539918,1.348489348,1.485333933
2,67,2.975230367,937.04,4.62,2831,3.93,465.11,4.73,1.552820935,1.32090612,1.589792862
2,68,3.648701919,938.99,4.66,3025.77,4.2,331.99,4.61,1.277166539,1.151094305,1.263463035
2,69,5.51297368,1665.8,8.28,5461.52,7.59,693.46,8.58,1.501911759,1.376752446,1.556328852
2,70,5.123038081,1787.07,8.44,4976.5,6.91,668.93,8.27,1.647459938,1.348809025,1.614276503
2,71,18.45912399,5051.58,25.18,16766.61,23.29,2007.94,27.85,1.364095068,1.261706677,1.508738985
2,72,8.032566142,2203.53,10.83,7402.09,10.28,818.16,10.81,1.34826154,1.279790271,1.345771676
2,73,10.79631325,2912.78,14.55,9715.03,13.49,1075.54,14.7,1.347682275,1.249500611,1.361575907
2,74,8.759838632,2166.33,10.76,7616.82,10.58,746.32,10.48,1.228333129,1.207784806,1.19636907
2,75,15.35340005,4062.41,19.9,14128.49,19.62,1289.63,18.36,1.296129843,1.277892841,1.195826328
2,76,17.45055364,4667.66,23.21,15541.93,21.59,1571.1,22.67,1.330043762,1.237210031,1.299099185
2,77,18.6946167,5050.48,24.96,16862.64,23.42,1765.85,24.31,1.335143715,1.25276706,1.300374348
2,78,20.41256857,5453.64,27.05,18692.62,25.96,2273.66,31.15,1.325163951,1.271765477,1.526020594
2,79,17.43887018,4712.1,23.39,15542.5,21.59,1981.04,24.88,1.341256616,1.23803892,1.426697931
2,80,10.40603566,3213.16,16.04,10824.03,15.03,1450.06,16.06,1.54141313,1.444354074,1.543335092
2,81,9.508162719,3335.6,16.67,11352.6,15.77,1481.31,16.55,1.753230408,1.658574897,1.740609673
2,82,12.92816135,3503.82,17.5,11410.91,15.85,1452.5,17.24,1.353634096,1.226005738,1.333522961
2,83,14.288693,3897.88,19.41,14065.31,19.54,1561.25,20.69,1.358416757,1.36751486,1.447998078
2,84,12.54051141,3594.46,17.9,11838.47,16.44,1413.92,18.4,1.427374006,1.310951321,1.467244788
2,85,13.22495786,3328.41,16.59,11933.17,16.57,1204.06,17.53,1.254446342,1.252934049,1.325524073
2,86,12.95725558,3571.64,17.46,11334.44,15.74,1305.99,16.48,1.347507571,1.214763412,1.271874271
2,87,12.61511183,3395.49,16.67,10925,15.17,1210.25,17.51,1.321431012,1.202526002,1.388017818
2,88,21.30931887,5466.48,27.28,19480.51,27.06,2217.67,31.65,1.280191083,1.269866961,1.485265681
2,89,14.01857655,3658.71,18.2,12843.71,17.84,1659.47,18.02,1.298277321,1.27259711,1.285437216
2,90,10.46645343,2718.05,13.57,9245.89,12.84,1271.06,13.13,1.296523229,1.226776585,1.254484156
2,91,8.643474178,2542.35,12.12,8151.06,11.32,1178.4,12.45,1.402213942,1.309658566,1.440393035
2,92,11.1554229,2840.31,14.18,9993.48,13.88,1090.36,14.92,1.271130653,1.244237903,1.337466104
2,93,9.481854607,2436.33,12.18,8585.91,11.93,863.7,12.81,1.284558824,1.258192674,1.351001521
2,94,7.13489657,1804.79,9.02,6367.16,8.84,703.04,10.79,1.264208936,1.23898082,1.512285412
2,95,8.042545163,2232.32,11.14,7473.81,10.38,993.79,12.85,1.385133658,1.290636209,1.597752918
2,96,12.22066709,3323.45,16.61,11089.86,15.4,1221.66,16.99,1.359172939,1.260160341,1.390267804
2,97,1.944454609,531.76,2.63,1859.73,2.58,229.62,3.05,1.352564358,1.326850207,1.568563229
2,98,3.693779173,976.69,4.88,3386.06,4.7,463.8,4.76,1.321140158,1.272409578,1.288653105
2,99,13.58378773,3367.6,16.84,11714.5,16.27,1410.65,17.47,1.23971313,1.197751343,1.286091946
2,100,11.86046897,2976.65,14.86,10987.75,15.26,1024,15.63,1.252901553,1.286627033,1.317823101
2,101,3.641337169,872.31,4.34,3197.85,4.44,346.3,4.43,1.191869854,1.219332293,1.216586049
2,102,23.42766163,6379.1,31.22,22122.62,30.73,2624.82,36.12,1.332612725,1.311697278,1.541767188
2,103,3.973950646,1189.26,5.95,3996.34,5.55,536.02,6.26,1.497250603,1.3965951,1.575258617
2,104,6.070293775,1779.6,8.9,5874.3,8.16,989.94,11.63,1.466156389,1.344251251,1.915887506
2,105,3.575456354,1025.46,5.08,3504.08,4.87,611.46,6.02,1.420797654,1.362063893,1.683701157
2,106,7.915188488,2487.67,11.69,8272.56,11.49,1252.84,13.94,1.476907343,1.451639467,1.761170946
2,107,4.71000833,2375.18,10.11,6948.02,9.65,1142.13,11.54,2.146493019,2.048828648,2.450101824
2,108,11.20447725,2927.31,14.5,9893,13.74,1135.13,14.63,1.294125524,1.226295497,1.305728029
2,109,8.9746327,2503.93,12.51,8300.87,11.53,839.66,12.46,1.393928913,1.284732243,1.388357654
2,110,10.27752151,2811.5,13.66,9952.5,13.82,970.42,12.59,1.329114222,1.344682178,1.225003518
2,111,10.16600008,2710.13,13.49,9293.93,12.91,1047.36,14.43,1.32697225,1.269919329,1.419437329
2,112,5.784121784,1602.79,7.75,5628.67,7.82,581.24,7.95,1.33987497,1.351977066,1.374452388
2,113,18.93924896,5250.49,25.01,17906.32,24.87,1744.7,23.23,1.320538109,1.313146052,1.226553389
2,114,7.386710143,1855.87,9.28,6578.1,9.14,733.53,10.48,1.256310295,1.237357338,1.418764213
3,1,2.340646336,936.81,4.43,2688.87,3.73,534.28,4.75,1.892639623,1.593576929,2.029353998
3,2,9.879758958,2417.4,12.03,8840.14,12.28,1002.82,12.43,1.217641043,1.242945304,1.258127861
3,3,0,0,0,0,0,0,0,NA,NA,NA
3,4,1.759553714,654.22,3.02,1861.75,2.59,426.13,3.53,1.716344307,1.471964158,2.006190531
3,5,2.881508344,1043.72,4.82,2944.05,4.09,533.22,4.54,1.672735049,1.419395508,1.575563718
